cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
ELSA,final,47,351047,wealth,valid,"",9020,7.48000000000002
ELSA,final,48,351048,education,valid,"",9025,3.75
ELSA,final,48,351048,wealth,valid,"",9025,7.40000000000003
ELSA,final,49,351049,education,valid,"",9020,3.66000000000003
ELSA,final,49,351049,wealth,valid,"",9020,7.36000000000001
ELSA,final,50,351050,education,valid,"",8955,3.69999999999999
ELSA,final,50,351050,wealth,valid,"",8955,7.44999999999999
ELSA,final,51,351051,education,valid,"",9031,3.70999999999998
ELSA,final,51,351051,wealth,valid,"",9031,7.54000000000002
ELSA,final,52,351052,education,valid,"",8942,3.66000000000003
ELSA,final,52,351052,wealth,valid,"",8942,7.44
ELSA,final,53,351053,education,valid,"",8938,3.69
ELSA,final,53,351053,wealth,valid,"",8938,7.46999999999997
ELSA,final,54,351054,education,valid,"",8945,3.62
ELSA,final,54,351054,wealth,valid,"",8945,7.38999999999999
ELSA,final,55,351055,education,valid,"",8972,3.64999999999998
ELSA,final,55,351055,wealth,valid,"",8972,7.43000000000001
ELSA,final,56,351056,education,valid,"",8966,3.84999999999997
ELSA,final,56,351056,wealth,valid,"",8966,7.51999999999998
ELSA,final,57,351057,education,valid,"",9037,3.70999999999998
ELSA,final,57,351057,wealth,valid,"",9037,7.45999999999998
ELSA,final,58,351058,education,valid,"",9037,3.75999999999999
ELSA,final,58,351058,wealth,valid,"",9037,7.43000000000001
ELSA,final,59,351059,education,valid,"",9000,3.76000000000005
ELSA,final,59,351059,wealth,valid,"",9000,7.64000000000004
ELSA,final,60,351060,education,valid,"",9010,3.70999999999998
ELSA,final,60,351060,wealth,valid,"",9010,7.71999999999997
ELSA,final,61,351061,education,valid,"",8993,3.67000000000002
ELSA,final,61,351061,wealth,valid,"",8993,7.38999999999999
ELSA,final,62,351062,education,valid,"",9025,3.69
ELSA,final,62,351062,wealth,valid,"",9025,7.58999999999998
ELSA,final,63,351063,education,valid,"",9010,3.75
ELSA,final,63,351063,wealth,valid,"",9010,7.86000000000001
ELSA,final,64,351064,education,valid,"",8928,3.79999999999995
ELSA,final,64,351064,wealth,valid,"",8928,7.70999999999998
ELSA,final,65,351065,education,valid,"",9001,3.75
ELSA,final,65,351065,wealth,valid,"",9001,7.42999999999995
ELSA,final,66,351066,education,valid,"",8971,3.92000000000007
ELSA,final,66,351066,wealth,valid,"",8971,8.5
ELSA,final,67,351067,education,valid,"",8990,4.97000000000003
ELSA,final,67,351067,wealth,valid,"",8990,9.15000000000009
ELSA,final,68,351068,education,valid,"",8945,4.37
ELSA,final,68,351068,wealth,valid,"",8945,8.63999999999999
ELSA,final,69,351069,education,valid,"",8995,4.57999999999993
ELSA,final,69,351069,wealth,valid,"",8995,8.79999999999996
ELSA,final,70,351070,education,valid,"",9044,3.63999999999999
ELSA,final,70,351070,wealth,valid,"",9044,7.38999999999999
ELSA,final,71,351071,education,valid,"",9005,3.75999999999999
ELSA,final,71,351071,wealth,valid,"",9005,7.36000000000001
ELSA,final,72,351072,education,valid,"",8966,3.71000000000004
ELSA,final,72,351072,wealth,valid,"",8966,7.45000000000005
ELSA,final,73,351073,education,valid,"",9085,3.61000000000001
ELSA,final,73,351073,wealth,valid,"",9085,7.40000000000009
ELSA,final,74,351074,education,valid,"",9002,3.77999999999997
ELSA,final,74,351074,wealth,valid,"",9002,7.32999999999993
ELSA,final,75,351075,education,valid,"",9013,3.5
ELSA,final,75,351075,wealth,valid,"",9013,7.12000000000001
ELSA,final,76,351076,education,valid,"",9047,3.54000000000008
ELSA,final,76,351076,wealth,valid,"",9047,7.22000000000003
ELSA,final,77,351077,education,valid,"",9062,3.57000000000005
ELSA,final,77,351077,wealth,valid,"",9062,7.25
ELSA,final,78,351078,education,valid,"",8949,3.63999999999999
ELSA,final,78,351078,wealth,valid,"",8949,7.26999999999998
ELSA,final,79,351079,education,valid,"",9035,3.63
ELSA,final,79,351079,wealth,valid,"",9035,7.32999999999993
ELSA,final,80,351080,education,valid,"",8949,3.60000000000002
ELSA,final,80,351080,wealth,valid,"",8949,7.19000000000006
ELSA,final,81,351081,education,valid,"",8953,3.56999999999994
ELSA,final,81,351081,wealth,valid,"",8953,7.40999999999997
ELSA,final,82,351082,education,valid,"",8990,3.57999999999993
ELSA,final,82,351082,wealth,valid,"",8990,7.23000000000002
ELSA,final,83,351083,education,valid,"",9056,3.81999999999994
ELSA,final,83,351083,wealth,valid,"",9056,7.4899999999999
ELSA,final,84,351084,education,valid,"",8990,3.67000000000007
ELSA,final,84,351084,wealth,valid,"",8990,7.38999999999999
ELSA,final,85,351085,education,valid,"",9007,3.56000000000006
ELSA,final,85,351085,wealth,valid,"",9007,7.22000000000003
ELSA,final,86,351086,education,valid,"",9025,3.59000000000003
ELSA,final,86,351086,wealth,valid,"",9025,7.25999999999999
ELSA,final,87,351087,education,valid,"",8903,3.54999999999995
ELSA,final,87,351087,wealth,valid,"",8903,7.13999999999999
ELSA,final,88,351088,education,valid,"",8957,3.50999999999999
ELSA,final,88,351088,wealth,valid,"",8957,7.20000000000005
ELSA,final,89,351089,education,valid,"",8979,3.63999999999999
ELSA,final,89,351089,wealth,valid,"",8979,7.32999999999993
ELSA,final,90,351090,education,valid,"",9025,3.58000000000004
ELSA,final,90,351090,wealth,valid,"",9025,7.20000000000005
ELSA,final,91,351091,education,valid,"",9007,3.93999999999994
ELSA,final,91,351091,wealth,valid,"",9007,7.83000000000004
ELSA,final,92,351092,education,valid,"",9009,3.90999999999997
ELSA,final,92,351092,wealth,valid,"",9009,7.88999999999999
ELSA,final,93,351093,education,valid,"",8963,3.95999999999992
ELSA,final,93,351093,wealth,valid,"",8963,7.75
ELSA,final,94,351094,education,valid,"",9020,3.60000000000002
ELSA,final,94,351094,wealth,valid,"",9020,7.41000000000008
ELSA,final,95,351095,education,valid,"",8953,3.84999999999991
ELSA,final,95,351095,wealth,valid,"",8953,7.67999999999995
ELSA,final,96,351096,education,valid,"",9065,3.86000000000001
ELSA,final,96,351096,wealth,valid,"",9065,7.58000000000004
ELSA,final,97,351097,education,valid,"",9015,3.69999999999993
ELSA,final,97,351097,wealth,valid,"",9015,7.65999999999997
ELSA,final,98,351098,education,valid,"",8948,3.77999999999997
ELSA,final,98,351098,wealth,valid,"",8948,7.63999999999999
ELSA,final,99,351099,education,valid,"",8959,3.74000000000001
ELSA,final,99,351099,wealth,valid,"",8959,7.47000000000003
ELSA,final,100,351100,education,valid,"",8949,3.81999999999994
ELSA,final,100,351100,wealth,valid,"",8949,7.60000000000002
ELSA,final,101,351101,education,valid,"",8945,3.60000000000002
ELSA,final,101,351101,wealth,valid,"",8945,7.25999999999999
ELSA,final,102,351102,education,valid,"",8974,3.59000000000003
ELSA,final,102,351102,wealth,valid,"",8974,7.50999999999999
ELSA,final,103,351103,education,valid,"",8893,3.83000000000004
ELSA,final,103,351103,wealth,valid,"",8893,7.66999999999996
ELSA,final,104,351104,education,valid,"",9003,3.71000000000004
ELSA,final,104,351104,wealth,valid,"",9003,7.49000000000001
ELSA,final,105,351105,education,valid,"",8997,3.56000000000006
ELSA,final,105,351105,wealth,valid,"",8997,7.38
ELSA,final,106,351106,education,valid,"",9011,3.64999999999998
ELSA,final,106,351106,wealth,valid,"",9011,7.61000000000001
ELSA,final,107,351107,education,valid,"",9000,3.86000000000001
ELSA,final,107,351107,wealth,valid,"",9000,7.51999999999998
ELSA,final,108,351108,education,valid,"",8986,3.55999999999995
ELSA,final,108,351108,wealth,valid,"",8986,7.30999999999995
ELSA,final,109,351109,education,valid,"",8946,3.57000000000005
ELSA,final,109,351109,wealth,valid,"",8946,7.13999999999999
ELSA,final,110,351110,education,valid,"",9025,3.71000000000004
ELSA,final,110,351110,wealth,valid,"",9025,7.27999999999997
ELSA,final,111,351111,education,valid,"",8978,3.5
ELSA,final,111,351111,wealth,valid,"",8978,7.11000000000001
ELSA,final,112,351112,education,valid,"",9000,3.60000000000002
ELSA,final,112,351112,wealth,valid,"",9000,7.36000000000001
ELSA,final,113,351113,education,valid,"",9018,3.51999999999998
ELSA,final,113,351113,wealth,valid,"",9018,7.22000000000003
ELSA,final,114,351114,education,valid,"",8964,3.82999999999993
ELSA,final,114,351114,wealth,valid,"",8964,7.54999999999996
ELSA,final,115,351115,education,valid,"",8941,3.72000000000003
ELSA,final,115,351115,wealth,valid,"",8941,7.66999999999996
ELSA,final,116,351116,education,valid,"",8999,3.78000000000009
ELSA,final,116,351116,wealth,valid,"",8999,7.50999999999999
ELSA,final,117,351117,education,valid,"",9007,3.69000000000005
ELSA,final,117,351117,wealth,valid,"",9007,7.48000000000002
ELSA,final,118,351118,education,valid,"",9021,3.67000000000007
ELSA,final,118,351118,wealth,valid,"",9021,7.46000000000004
ELSA,final,119,351119,education,valid,"",8960,3.56999999999994
ELSA,final,119,351119,wealth,valid,"",8960,7.15999999999997
ELSA,final,120,351120,education,valid,"",9062,3.69999999999993
ELSA,final,120,351120,wealth,valid,"",9062,7.54999999999996
ELSA,final,121,351121,education,valid,"",9056,3.60000000000002
ELSA,final,121,351121,wealth,valid,"",9056,7.24000000000001
ELSA,final,122,351122,education,valid,"",9009,3.62
ELSA,final,122,351122,wealth,valid,"",9009,7.27999999999997
ELSA,final,123,351123,education,valid,"",8968,3.60000000000002
ELSA,final,123,351123,wealth,valid,"",8968,7.27999999999997
ELSA,final,124,351124,education,valid,"",8984,3.87
ELSA,final,124,351124,wealth,valid,"",8984,7.5
ELSA,final,125,351125,education,valid,"",9011,3.6400000000001
ELSA,final,125,351125,wealth,valid,"",9011,7.32000000000005
ELSA,final,126,351126,education,valid,"",9013,3.59000000000003
ELSA,final,126,351126,wealth,valid,"",9013,7.54999999999996
ELSA,final,127,351127,education,valid,"",8954,3.7600000000001
ELSA,final,127,351127,wealth,valid,"",8954,7.5
ELSA,final,128,351128,education,valid,"",9019,3.78000000000009
ELSA,final,128,351128,wealth,valid,"",9019,7.73000000000002
ELSA,final,129,351129,education,valid,"",8963,3.79999999999995
ELSA,final,129,351129,wealth,valid,"",8963,7.70000000000005
ELSA,final,130,351130,education,valid,"",9007,4
ELSA,final,130,351130,wealth,valid,"",9007,8.04999999999996
ELSA,final,131,351131,education,valid,"",8982,4.03999999999996
ELSA,final,131,351131,wealth,valid,"",8982,8.23000000000002
ELSA,final,132,351132,education,valid,"",8965,4.04000000000019
ELSA,final,132,351132,wealth,valid,"",8965,8.07000000000016
ELSA,final,133,351133,education,valid,"",8983,3.97000000000003
ELSA,final,133,351133,wealth,valid,"",8983,7.83000000000016
ELSA,final,134,351134,education,valid,"",8936,4.25
ELSA,final,134,351134,wealth,valid,"",8936,8.61999999999989
ELSA,final,135,351135,education,valid,"",8981,4.27999999999997
ELSA,final,135,351135,wealth,valid,"",8981,8.36999999999989
ELSA,final,136,351136,education,valid,"",9044,4.02999999999997
ELSA,final,136,351136,wealth,valid,"",9044,8.1099999999999
ELSA,final,137,351137,education,valid,"",9011,3.72000000000003
ELSA,final,137,351137,wealth,valid,"",9011,7.53999999999996
ELSA,final,138,351138,education,valid,"",8978,3.85000000000014
ELSA,final,138,351138,wealth,valid,"",8978,7.87000000000012
ELSA,final,139,351139,education,valid,"",8908,3.81000000000017
ELSA,final,139,351139,wealth,valid,"",8908,7.81000000000017
ELSA,final,140,351140,education,valid,"",8994,3.87000000000012
ELSA,final,140,351140,wealth,valid,"",8994,7.82999999999993
ELSA,final,141,351141,education,valid,"",8975,3.92000000000007
ELSA,final,141,351141,wealth,valid,"",8975,7.73000000000002
ELSA,final,142,351142,education,valid,"",9048,3.80000000000018
ELSA,final,142,351142,wealth,valid,"",9048,7.67000000000007
ELSA,final,143,351143,education,valid,"",9039,4.13999999999987
ELSA,final,143,351143,wealth,valid,"",9039,8.00999999999999
ELSA,final,144,351144,education,valid,"",8995,3.82999999999993
ELSA,final,144,351144,wealth,valid,"",8995,7.74000000000001
ELSA,final,145,351145,education,valid,"",8977,3.91999999999985
ELSA,final,145,351145,wealth,valid,"",8977,7.99000000000001
ELSA,final,146,351146,education,valid,"",8960,3.84000000000015
ELSA,final,146,351146,wealth,valid,"",8960,7.83000000000016
ELSA,final,147,351147,education,valid,"",8993,3.86000000000013
ELSA,final,147,351147,wealth,valid,"",8993,7.84000000000015
ELSA,final,148,351148,education,valid,"",8980,4.19000000000005
ELSA,final,148,351148,wealth,valid,"",8980,8.26999999999998
ELSA,final,149,351149,education,valid,"",8890,4.1099999999999
ELSA,final,149,351149,wealth,valid,"",8890,8.14999999999986
ELSA,final,150,351150,education,valid,"",9035,4.07999999999993
ELSA,final,150,351150,wealth,valid,"",9035,8.15999999999985
ELSA,final,151,351151,education,valid,"",9006,3.87999999999988
ELSA,final,151,351151,wealth,valid,"",9006,7.65999999999985
ELSA,final,152,351152,education,valid,"",9070,3.74000000000001
ELSA,final,152,351152,wealth,valid,"",9070,7.5
ELSA,final,153,351153,education,valid,"",8953,3.77999999999997
ELSA,final,153,351153,wealth,valid,"",8953,7.56999999999994
ELSA,final,154,351154,education,valid,"",9001,3.91000000000008
ELSA,final,154,351154,wealth,valid,"",9001,7.76999999999998
ELSA,final,155,351155,education,valid,"",9034,3.82999999999993
ELSA,final,155,351155,wealth,valid,"",9034,7.57999999999993
ELSA,final,156,351156,education,valid,"",8976,3.70999999999981
ELSA,final,156,351156,wealth,valid,"",8976,7.49000000000001
ELSA,final,157,351157,education,valid,"",9001,3.67000000000007
ELSA,final,157,351157,wealth,valid,"",9001,7.40000000000009
ELSA,final,158,351158,education,valid,"",8969,3.6400000000001
ELSA,final,158,351158,wealth,valid,"",8969,7.61000000000013
ELSA,final,159,351159,education,valid,"",8961,3.6400000000001
ELSA,final,159,351159,wealth,valid,"",8961,7.36999999999989
ELSA,final,160,351160,education,valid,"",8912,3.83999999999992
ELSA,final,160,351160,wealth,valid,"",8912,7.73000000000002
ELSA,final,161,351161,education,valid,"",9000,3.58999999999992
ELSA,final,161,351161,wealth,valid,"",9000,7.27999999999997
ELSA,final,162,351162,education,valid,"",8980,3.98000000000002
ELSA,final,162,351162,wealth,valid,"",8980,8.37000000000012
ELSA,final,163,351163,education,valid,"",8971,3.65000000000009
ELSA,final,163,351163,wealth,valid,"",8971,7.32999999999993
ELSA,final,164,351164,education,valid,"",9077,3.6099999999999
ELSA,final,164,351164,wealth,valid,"",9077,7.25
ELSA,final,165,351165,education,valid,"",9006,3.88000000000011
ELSA,final,165,351165,wealth,valid,"",9006,8.57000000000016
ELSA,final,166,351166,education,valid,"",9010,3.80999999999995
ELSA,final,166,351166,wealth,valid,"",9010,7.47000000000003
ELSA,final,167,351167,education,valid,"",9075,3.56000000000017
ELSA,final,167,351167,wealth,valid,"",9075,7.27000000000021
ELSA,final,168,351168,education,valid,"",8996,3.6099999999999
