cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
ELSA,final,1,351001,education,27.2740557855526,23.1404645585436,-4.13359122700905,21.066368836512,16.6263577212679,-4.44001111524407,6.20768694904063,6.51410683727565,0.306419888235019,0.0805011573900877,0.0132074300378762,-1.89041321063173,-0.671980302963505,-0.496077258242346,-0.488120280908837,-0.893420062497649,-1.16805756120585,26.3075368706964,0
ELSA,final,1,351001,wealth,26.8481599236964,22.2091483609732,-4.63901156272322,21.1872688287576,15.4296172266887,-5.75765160206897,5.66089109493877,6.77953113428452,1.11864003934575,0.0590959509962871,0.00620047260321829,-2.79816580072038,-0.965108764263178,-0.556997125256284,-0.466694392940381,-0.970685518888738,-1.52210588951946,26.4362277316763,1.77635683940025e-15
ELSA,final,2,351002,education,25.4646795668501,23.8957650897618,-1.56891447708822,20.2650075068267,16.7964926180481,-3.46851488877857,5.19967206002338,7.09927247171372,1.89960041169034,0.0321218445093554,0.0101537055901745,-2.04614846510114,-0.703566803579677,-0.615192169761569,-0.21545794838709,0.111850498050905,-1.31875897334125,38.0208537552406,8.88178419700125e-16
ELSA,final,2,351002,wealth,27.1622185797405,22.7588997467156,-4.40331883302485,21.1354355572971,15.4404210267611,-5.69501453053598,6.02678302244342,7.31847871995455,1.29169569751113,0.0629837165985435,0.00558638084495007,-3.02115611999094,-0.89789385376026,-0.638870712253661,-0.450754786161817,-0.686339058369299,-1.53676456601392,26.9843835827631,3.5527136788005e-15
ELSA,final,3,351003,education,27.5563070632079,24.2889732253351,-3.26733383787284,21.3366380270547,17.3620031291372,-3.97463489791755,6.21966903615319,6.9269700961979,0.707301060044711,0.135514836508774,0.0432353160618574,-1.40655512282749,-0.861090825185453,-0.702558701421834,-0.380181605102312,-0.624248643380472,-1.56364952660729,39.3407084365544,-3.5527136788005e-15
ELSA,final,3,351003,wealth,27.5112685061635,22.8680800154421,-4.64318849072145,21.1036226640184,15.7347458637237,-5.36887680029477,6.40764584214512,7.13333415171844,0.725688309573321,0.116764324540908,0.0178567959266892,-2.5007956844331,-0.981881377951052,-0.539442636138101,-0.461303741194797,-0.885453360577714,-1.52132401408915,28.3359829379141,1.77635683940025e-15
ELSA,final,4,351004,education,27.2284313555477,24.4523653686997,-2.77606598684803,21.275654581984,17.00654142719,-4.26911315479405,5.95277677356368,7.4458239415097,1.49304716794602,0.136553025407426,0.0686533474451367,-2.18884195840989,-0.659691461539646,-0.540183586593559,-0.215526972333364,-0.664869175917591,-1.1998750481332,28.1059556078009,1.77635683940025e-15
ELSA,final,4,351004,wealth,28.397737992054,22.9845816647206,-5.41315632733337,21.5232848767687,15.5089073876144,-6.01437748915432,6.87445311528532,7.47567427710628,0.601221161820956,0.182057380814127,0.0432259095033694,-2.7839039733383,-0.779121622983515,-0.631006975904525,-0.501700925862978,-1.318643991065,-1.41012859888804,23.4459609731999,1.77635683940025e-15
ELSA,final,5,351005,education,26.0913790577113,24.3473763611291,-1.74400269658226,20.8382244545012,17.2979302517297,-3.54029420277146,5.25315460321016,7.04944610939936,1.7962915061892,0.0512658434622147,0.0260149289297424,-1.85749643417992,-0.52959849564315,-0.718602127604246,-0.177433361676661,-0.257163783667485,-1.2482006232474,35.2569744703777,0
ELSA,final,5,351005,wealth,26.6899044716939,23.0711386050098,-3.61876586668407,21.0500386927345,15.6898286956135,-5.36020999712106,5.63986577895937,7.38130990939636,1.74144413043699,0.0444299905608187,0.0071004203310053,-3.0766887558252,-0.792196868746643,-0.496968861366364,-0.358441948515046,-0.635913562667802,-1.28916573011301,24.0506571721147,3.5527136788005e-15
ELSA,final,6,351006,education,26.9872523902007,23.6147378750618,-3.37251451513882,21.4802639064496,16.8269115929014,-4.6533523135482,5.5069884837511,6.78782628216048,1.28083779840938,0.123091413069971,0.0451694360168479,-2.17011266428264,-0.658435193011896,-0.710257602648956,-0.318317412798774,-0.796229440805935,-1.36869279566085,29.4130489899918,2.66453525910038e-15
ELSA,final,6,351006,wealth,26.7086874637926,22.4957273843131,-4.21296007947947,20.9665006879257,15.4912321009874,-5.47526858693829,5.74218677586694,7.00449528332576,1.26230850745882,0.123615179109799,0.0320677846952503,-2.75474053925629,-1.05785981737467,-0.529327524927362,-0.437942564433276,-0.695398140946694,-1.58718734230203,28.9883010687074,-2.66453525910038e-15
ELSA,final,7,351007,education,27.151535859318,23.6742992628099,-3.47723659650809,21.7658451434763,17.094822647609,-4.67102249586728,5.38569071584169,6.57947661520088,1.19378589935919,0.042349670815334,0.00776910835552468,-1.97909098768347,-0.80070963460454,-0.655235477601716,-0.381235895974085,-0.854750500003467,-1.45594511220626,31.1697302570136,0
ELSA,final,7,351007,wealth,26.8122278175172,22.6720964260562,-4.14013139146093,21.0386526697393,15.8008864037931,-5.23776626594612,5.77357514777791,6.8712100222631,1.09763487448519,0.0325273076407332,0.00219354094458065,-2.51873177291736,-0.968167091973097,-0.485361668686639,-0.513060180536574,-0.752445551832446,-1.45352876065974,27.7509282938035,-1.77635683940025e-15
ELSA,final,8,351008,education,27.7502688911403,24.1072399696321,-3.64302892150818,21.8523823912948,17.1352425559543,-4.71713983534045,5.89788649984548,6.97199741367775,1.07411091383227,0.0457413161179428,0.0101736283806604,-1.64765069277799,-0.685223573638405,-0.845081392052606,-0.312801756802613,-1.22638242006884,-1.53030496569101,32.4413737796383,-1.77635683940025e-15
ELSA,final,8,351008,wealth,26.8438976376774,22.9011635109503,-3.94273412672707,21.3700936515044,15.8615335933645,-5.50856005813986,5.47380398617297,7.03962991758576,1.5658259314128,0.0276981704830648,0.00167221672585416,-2.83950543097302,-0.837477135019538,-0.460499171443011,-0.325221934333925,-1.04585638637038,-1.29797630646255,23.562896524012,-1.77635683940025e-15
ELSA,final,9,351009,education,26.5469366802382,24.0179769695602,-2.52895971067793,21.0388659405372,17.4433847261229,-3.59548121441435,5.50807073970094,6.57459224343737,1.06652150373642,0.0291952191222687,0.00526267240959646,-1.43093575851828,-0.613460069169619,-0.838252103142266,-0.468235760475262,-0.244597523108926,-1.45171217231188,40.3760188341951,0
ELSA,final,9,351009,wealth,26.9359792538231,22.9305593402106,-4.00541991361252,21.2154185108776,15.9441490202583,-5.27126949061923,5.72056074294549,6.9864103199522,1.26584957700671,0.0478086415228412,0.00447308194852225,-2.83943672667149,-0.920617745992199,-0.463683542360869,-0.52597498645563,-0.521556489139047,-1.38430128835307,26.2612505548535,-2.66453525910038e-15
ELSA,final,10,351010,education,26.5379426974755,23.3008984358165,-3.23704426165896,21.5419084069352,16.8200668783442,-4.72184152859098,4.99603429054027,6.48083155747228,1.48479726693202,0.061873238214906,0.0170838581225813,-2.13055574478081,-0.640814037594439,-0.752062356336103,-0.232691307939502,-0.96571808194012,-1.39287639393054,29.4985840904785,0
ELSA,final,10,351010,wealth,26.7251976503313,22.4236240376438,-4.3015736126875,21.4088186949283,15.4072523193029,-6.00156637562531,5.31637895540305,7.01637171834087,1.69999276293782,0.0456804958686957,0.00413494386296733,-3.16319958761459,-0.973542824851436,-0.614073289327932,-0.379474400305746,-0.871276273525601,-1.58761611417937,26.4533625859291,4.44089209850063e-15
