cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
MHAS,final,55,451055,education,valid,"",9632,3.31999999999999
MHAS,final,55,451055,wealth,valid,"",9632,6.72000000000003
MHAS,final,56,451056,education,valid,"",9633,3.31
MHAS,final,56,451056,wealth,valid,"",9633,6.73000000000002
MHAS,final,57,451057,education,valid,"",9522,3.43000000000001
MHAS,final,57,451057,wealth,valid,"",9522,6.78000000000003
MHAS,final,58,451058,education,valid,"",9595,3.29000000000002
MHAS,final,58,451058,wealth,valid,"",9595,6.64000000000004
MHAS,final,59,451059,education,valid,"",9614,3.34000000000003
MHAS,final,59,451059,wealth,valid,"",9614,6.75
MHAS,final,60,451060,education,valid,"",9635,3.18000000000001
MHAS,final,60,451060,wealth,valid,"",9635,6.48000000000002
MHAS,final,61,451061,education,valid,"",9672,3.36000000000001
MHAS,final,61,451061,wealth,valid,"",9672,6.73000000000002
MHAS,final,62,451062,education,valid,"",9643,3.41000000000003
MHAS,final,62,451062,wealth,valid,"",9643,6.75
MHAS,final,63,451063,education,valid,"",9580,3.33999999999998
MHAS,final,63,451063,wealth,valid,"",9580,6.68000000000001
MHAS,final,64,451064,education,valid,"",9545,3.38
MHAS,final,64,451064,wealth,valid,"",9545,6.79999999999996
MHAS,final,65,451065,education,valid,"",9536,3.31
MHAS,final,65,451065,wealth,valid,"",9536,6.81
MHAS,final,66,451066,education,valid,"",9599,3.48000000000002
MHAS,final,66,451066,wealth,valid,"",9599,6.84000000000003
MHAS,final,67,451067,education,valid,"",9566,3.66000000000003
MHAS,final,67,451067,wealth,valid,"",9566,7
MHAS,final,68,451068,education,valid,"",9583,3.29999999999995
MHAS,final,68,451068,wealth,valid,"",9583,6.69999999999999
MHAS,final,69,451069,education,valid,"",9584,3.41999999999996
MHAS,final,69,451069,wealth,valid,"",9584,7
MHAS,final,70,451070,education,valid,"",9649,3.41000000000003
MHAS,final,70,451070,wealth,valid,"",9649,7.13
MHAS,final,71,451071,education,valid,"",9591,3.45999999999998
