cohort,recovery_phase,age,high,low,low_high_hazard_ratio
CHARLS,early_recovery,60,0.195177548543602,0.193611306169949,0.99197529436485
CHARLS,early_recovery,70,0.228282739815669,0.226450838027063,0.991975294364851
CHARLS,early_recovery,80,0.316028815004371,0.313492776791736,0.99197529436485
CHARLS,early_recovery,90,0.318822948907139,0.316264488592429,0.99197529436485
CHARLS,sustained_recovery,60,0.113527631632775,0.137939900571618,1.2150337198772
CHARLS,sustained_recovery,70,0.132783708921952,0.16133668379053,1.2150337198772
CHARLS,sustained_recovery,80,0.183822387169411,0.223350398879156,1.21503371987719
CHARLS,sustained_recovery,90,0.185447632525822,0.225325126790268,1.21503371987719
ELSA,early_recovery,60,0.129206928929423,0.20101801659464,1.55578356563558
ELSA,early_recovery,70,0.162338449367758,0.252563491597121,1.55578356563558
ELSA,early_recovery,80,0.239031632427755,0.371881485398145,1.55578356563558
ELSA,early_recovery,90,0.426455562688253,0.663472555904258,1.55578356563558
ELSA,sustained_recovery,60,0.0729347134319031,0.110258359849911,1.51174049587315
ELSA,sustained_recovery,70,0.0916367905476987,0.138531047182802,1.51174049587315
ELSA,sustained_recovery,80,0.134928550324117,0.203976953574426,1.51174049587315
ELSA,sustained_recovery,90,0.240725590444909,0.363914623468544,1.51174049587315
HRS,early_recovery,60,0.155896166918653,0.21264096125844,1.36399095283335
HRS,early_recovery,70,0.160089873733059,0.218361139412126,1.36399095283335
HRS,early_recovery,80,0.236801776140217,0.322995480270124,1.36399095283335
HRS,early_recovery,90,0.327376301539017,0.446538313471262,1.36399095283335
HRS,sustained_recovery,60,0.085778212511161,0.110629529455864,1.28971595720148
HRS,sustained_recovery,70,0.0880857014087129,0.113605534708102,1.28971595720148
HRS,sustained_recovery,80,0.13029462800952,0.168043060881509,1.28971595720148
HRS,sustained_recovery,90,0.180131138048987,0.232318003130642,1.28971595720148
MHAS,early_recovery,60,0.0959016044097034,0.0942702535958581,0.98298932719753
MHAS,early_recovery,70,0.147799106323691,0.145284944085522,0.982989327197534
MHAS,early_recovery,80,0.291321189239221,0.286365619808646,0.98298932719753
MHAS,early_recovery,90,0.319627354040494,0.314190277702192,0.98298932719753
MHAS,sustained_recovery,60,0.0773841514934088,0.0586092151793651,0.757380084271611
MHAS,sustained_recovery,70,0.119260866434324,0.0903258050703336,0.757380084271613
MHAS,sustained_recovery,80,0.235070551531324,0.178037754128568,0.75738008427161
MHAS,sustained_recovery,90,0.257911134425238,0.195336756725573,0.75738008427161
