log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive
-0.0080570768815385,0.0818284459752034,0.99197529436485,0.844981258641898,1.16454060319846,0.921564625593617,CHARLS,low_vs_high_early_recovery,FALSE
0.19477182939275,0.129157244715891,1.21503371987719,0.943294852497574,1.56505353180904,0.131549168156561,CHARLS,low_vs_high_sustained_recovery,TRUE
0.202828906274289,0.152514391342708,1.22486288396443,0.908373809382693,1.65162080744404,0.183551184212646,CHARLS,sustained_vs_early_modification,TRUE
0.310414926579149,0.0526776823859968,1.36399095283335,1.23018758895674,1.51234765828601,3.79885710641655e-09,HRS,low_vs_high_early_recovery,TRUE
0.254422005912693,0.0519552249791144,1.28971595720148,1.16484701984045,1.42797055916233,9.73368599289307e-07,HRS,low_vs_high_sustained_recovery,TRUE
-0.0559929206664558,0.0733164973661677,0.945545829701012,0.818981932752098,1.09166866851457,0.445037003314336,HRS,sustained_vs_early_modification,FALSE
0.441979319446134,0.0747276919682037,1.55578356563558,1.34381561731044,1.80118646629972,3.32820692544666e-09,ELSA,low_vs_high_early_recovery,TRUE
0.413261633313751,0.0880038784763351,1.51174049587315,1.27223351812497,1.79633635987753,2.6537310712564e-06,ELSA,low_vs_high_sustained_recovery,TRUE
-0.0287176861323833,0.115040112269894,0.971690747520888,0.77553954389599,1.21745295420336,0.802871997681963,ELSA,sustained_vs_early_modification,FALSE
-0.0171570162718049,0.117611882215819,0.982989327197532,0.780612582452934,1.23783300334198,0.884017497081157,MHAS,low_vs_high_early_recovery,FALSE
-0.277890058722039,0.169864233964314,0.757380084271611,0.542903355555092,1.05658693427078,0.101849232657469,MHAS,low_vs_high_sustained_recovery,FALSE
-0.260733042450235,0.206336349535762,0.770486579372002,0.514195216219125,1.15452176579446,0.206362441016379,MHAS,sustained_vs_early_modification,TRUE
