module,cohort,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
wealth_within_low_education,CHARLS,onset,(Intercept),-2.87609394858845,0.0712259694109167,-40.3798498269037,0,0.0563544568925555,0.0490116698690763,0.0647973190902983
wealth_within_low_education,CHARLS,onset,sesmiddle,0.319270250501277,0.0537579856867539,5.93902927021215,2.86714677983405e-09,1.37612317263498,1.23850449403911,1.52903360090929
wealth_within_low_education,CHARLS,onset,seslow,0.450984428666694,0.0524817519196706,8.59316642777051,8.46048561558598e-18,1.56985683713883,1.41640248386995,1.73993657676881
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.674408735713791,0.124855952157868,5.40149447469727,6.60879752063708e-08,1.96287205665311,1.53678269113776,2.50709923596101
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.26535084581827,0.276083412422073,4.58321937822115,4.57871224453603e-06,3.54433603346927,2.06313641704696,6.08894196930007
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.28794249343337,0.390554784682323,3.29772555335862,0.000974713540372694,3.62531975768633,1.68616229521834,7.79458975137918
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.844436598204758,0.542437413064853,1.55674475592228,0.119531098031157,2.32666659709605,0.80353002125101,6.73699464970138
wealth_within_low_education,CHARLS,onset,sex_factorfemale,0.472551933949734,0.0413495765355288,11.4282170107281,3.02251276704568e-30,1.60408248702759,1.47920793274799,1.7394989360343
wealth_within_low_education,CHARLS,onset,period_factor2,-0.0266925955479851,0.0569308982888174,-0.468859553428619,0.639170028590665,0.973660503098214,0.870857294801612,1.08859945361017
wealth_within_low_education,CHARLS,onset,period_factor3,-0.531673992995879,0.057880168989442,-9.18577126291498,4.08588675180155e-20,0.587620473331669,0.524600045815512,0.65821157171604
wealth_within_low_education,CHARLS,onset,period_factor4,-0.307661227952684,0.0574474058674563,-5.3555286493271,8.53066280773483e-08,0.735164328952546,0.656877229370547,0.822781741242805
wealth_within_low_education,CHARLS,recovery,(Intercept),-0.877695099663264,0.0677938538640589,-12.9465290677121,2.45819499767607e-38,0.415740047582081,0.364011050519258,0.474820165258711
wealth_within_low_education,CHARLS,recovery,sesmiddle,-0.116204357822237,0.0502324967621141,-2.31333032026151,0.0207044848893837,0.890293266312884,0.806815669358738,0.98240791564205
wealth_within_low_education,CHARLS,recovery,seslow,-0.205666670093461,0.0484518789480927,-4.24476149446744,2.18826047811999e-05,0.814104396403219,0.740349910266392,0.895206386942864
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.746651718667942,0.115017149445516,-6.4916555684736,8.48981806545199e-11,0.473950819657017,0.378293347941251,0.593796799959705
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.02347786397355,0.255074507959575,-4.01246628744162,6.00876623719431e-05,0.359343018290501,0.217964319943079,0.592424507037888
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.92969033926182,0.485801080278124,-3.97218206710669,7.12172534057326e-05,0.145193152141744,0.0560304236331135,0.376242941993336
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.05121897195534,0.691515021984191,-2.96626813119648,0.00301437561685779,0.128578074954929,0.0331541157386646,0.498650649874979
wealth_within_low_education,CHARLS,recovery,origin_factorD2,0.258279772531828,0.0590000270262175,4.37762125798786,1.19981611375775e-05,1.29470098973297,1.15331421025516,1.45342061851876
wealth_within_low_education,CHARLS,recovery,sex_factorfemale,-0.133758615048838,0.0378996921645483,-3.5292797225925,0.000416692437624215,0.874801202965151,0.812172915237353,0.9422588839787
wealth_within_low_education,CHARLS,recovery,period_factor2,-0.174479477157488,0.0571358248765631,-3.05376666101234,0.00225987779338134,0.839894091066493,0.750912838968485,0.93941939410363
wealth_within_low_education,CHARLS,recovery,period_factor3,-0.754149645937057,0.0549126853861378,-13.7336143849821,6.38662394321636e-43,0.470410460147394,0.422410153475945,0.523865250859044
wealth_within_low_education,CHARLS,recovery,period_factor4,-0.444018065274801,0.0546316109865671,-8.12749353820038,4.38257981316914e-16,0.64145383268289,0.576317806637492,0.71395159879622
wealth_within_low_education,CHARLS,relapse,(Intercept),-1.76389234632091,0.106511970046451,-16.560508133984,1.34453739922272e-61,0.171376507211836,0.139086977016178,0.211162165245077
wealth_within_low_education,CHARLS,relapse,sesmiddle,0.185511409803216,0.0725998321784427,2.5552594852733,0.0106108663416785,1.20383393520508,1.04416313698572,1.38792118991572
wealth_within_low_education,CHARLS,relapse,seslow,0.0813184488246761,0.0709819192269893,1.14562200783318,0.251951587076238,1.08471626819296,0.943832926764154,1.24662887796928
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.665966389165915,0.150688983908832,4.41947627418358,9.89403824531273e-06,1.94637056419008,1.44862666596633,2.61513781441992
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.32337203215191,0.315572822045222,1.02471445435682,0.30549794078667,1.38177932162737,0.744419395711784,2.56483657555886
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.74512358191263,0.428051640701093,1.74073291879507,0.0817304052145424,2.10670176912807,0.910412364907856,4.87492538010128
