module,stratum,cohort,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
wealth_within_low_education,all,CHARLS,high,29.043693805786,17.4699767784571,11.5737170273289,0.213711808065497,-1.77635683940025e-15
wealth_within_low_education,all,CHARLS,middle,28.806484739506,15.1015310452923,13.7049536942137,0.211305526625676,0
wealth_within_low_education,all,CHARLS,low,26.9508362477722,14.1914806404435,12.7593556073287,0.132965477343136,0
wealth_within_low_education,all,HRS,high,24.3632123518735,17.5244355493806,6.83877680249297,0.0684002753371396,0
wealth_within_low_education,all,HRS,middle,23.4347665514576,16.5178271248326,6.91693942662493,0.0494825443077536,1.77635683940025e-15
wealth_within_low_education,all,HRS,low,21.1783759359493,13.8716599948212,7.30671594112812,0.0306216443053922,8.88178419700125e-16
wealth_within_low_education,all,ELSA,high,27.2753105297404,20.1208910816856,7.15441944805481,0.105882649936267,-8.88178419700125e-16
wealth_within_low_education,all,ELSA,middle,24.8224974602688,17.3531993077894,7.46929815247941,0.0420467306544969,0
wealth_within_low_education,all,ELSA,low,22.0007360610529,14.6075285905071,7.3932074705458,0.0105754859086778,0
wealth_within_low_education,all,MHAS,high,23.9367025794179,16.6623093666612,7.27439321275671,0.0667739864177825,-1.77635683940025e-15
wealth_within_low_education,all,MHAS,middle,22.9566320174565,15.9919258952614,6.96470612219513,0.060100636842295,1.77635683940025e-15
wealth_within_low_education,all,MHAS,low,22.620118287246,15.594813358761,7.02530492848504,0.056909014947763,0
