cohort,country,wealth3,people,households,weighted_mean_entry_age,weighted_female_percent,sex_missing_n,weighted_entry_difficulty_percent,proxy_observed_n,weighted_proxy_percent_among_observed,proxy_missing_n,weighted_median_wealth_local_currency
CHARLS,China,high,3001,2111,66.7504252668913,52.0462749444736,0,28.1198833549578,1,,3000,304000
CHARLS,China,low,3860,2732,67.9812683689768,53.4429239469101,0,42.4714338910958,2,,3858,4400
ELSA,England,high,944,802,70.0340640315458,60.7784115091404,0,21.9065398080912,944,2.01348036503589,0,333000
ELSA,England,low,2595,2129,69.8556310945165,60.233581799326,0,41.2341743305579,2595,1.34958095503273,0,4000
HRS,United States,high,887,798,69.0777513887965,47.3032293234617,0,21.5131911156882,887,14.0942874123274,0,364000
HRS,United States,low,5077,4448,67.5678532850431,59.8980082902915,0,38.4134474341755,5077,10.3120262330057,0,5300
MHAS,Mexico,high,4733,3706,65.1025734699244,55.2082332581611,0,14.2560348489139,4733,0.299688271105538,0,1189906.875
MHAS,Mexico,low,4872,4032,65.5604022461694,56.0698790248766,0,16.7161019382094,4872,0.323131721637653,0,40999.1640625
