metric,cohorts,inverse_variance_pooled,cochran_q,df,p_heterogeneity,i2_percent,module
population_fdfle_gap,4,-6.6089585193706,9.39593516436391,3,0.0244645987300875,68.0712994766275,primary_education
population_recovery_relapse,4,-1.73575380362965,1.59580511403488,3,0.660341355634016,0,primary_education
population_fdfle_gap,4,-6.16179245922742,159.629529323786,3,2.20333399779697e-34,98.1206484710514,primary_wealth
population_recovery_relapse,4,-1.57130239756164,26.6851695112248,3,6.85345114017966e-06,88.7578004751362,primary_wealth
population_fdfle_gap,4,-3.69935985415833,56.9303923457799,3,2.65932558090929e-12,94.7304069471737,focused_broad
population_recovery_relapse,4,-1.00466092137033,13.6566054522274,3,0.00341186750003739,78.0326083923681,focused_broad
population_fdfle_gap,4,-3.27212517046429,56.2445839284296,3,3.72520013629983e-12,94.6661530933939,focused_adl_only
population_recovery_relapse,4,-0.73335376957916,16.9801503707139,3,0.000713416815424186,82.3323119377424,focused_adl_only
population_fdfle_gap,4,-3.9053996656794,37.5061142169122,3,3.59575447088151e-08,92.0013041536379,focused_at_least_two
population_recovery_relapse,4,-0.538600849570972,4.33305911904494,3,0.227673202378905,30.7648495536512,focused_at_least_two
