sensitivity,cohort,gap_years,recovery_relapse_years,initial_state,onset,post_difficulty_mortality,pre_difficulty_mortality,recovery,relapse,high_difficulty_years,high_fdfle,high_residual_alive_at_end,high_total_life_expectancy,low_difficulty_years,low_fdfle,low_residual_alive_at_end,low_total_life_expectancy
primary,CHARLS,-2.17717354300697,-0.965923494367923,-0.489830194139038,-0.518763735980437,-0.138562819667643,-0.064093298851927,-0.294670689539387,-0.671252804828536,9.8624050639442,13.8305713239148,0.049771468600377,23.692976387859,11.196824734498,11.6533977809079,0.0382982158914411,22.8502225154059
primary,ELSA,-6.63417079197773,-1.86946195565414,-1.38937648279744,-1.92035979030856,-0.712491434921777,-0.74248112829581,-1.08873178916717,-0.780730166486967,7.72102501462158,18.4726568098181,0.0801310124805496,26.1936818244397,9.35251287432367,11.8384860178403,0.0112794432263905,21.190998892164
primary,HRS,-4.56340120602628,-1.10292298574601,-1.18067886930526,-1.29781612820792,-0.200763204644677,-0.781220018122411,-0.843749179325583,-0.25917380642043,7.31660879276714,15.8281364082911,0.0623808490133482,23.1447452010583,8.67508898119821,11.2647352022648,0.0309024807432436,19.939824183463
primary,MHAS,-0.936459790243743,0.352937612048698,-0.0721099625039204,-0.534336635791804,-0.021937533626731,-0.661013270369986,0.00294372034789114,0.349993891700807,7.71944318584399,15.9522001497057,0.0650219841560958,23.6716433355497,7.46753069480548,15.015740359462,0.0562133545491644,22.4832710542675
adl_only,CHARLS,-1.76308413664896,-0.291974964305658,-0.48093355185122,-0.783694148795254,0.0475125072429672,-0.253993978939795,0.0876627252428761,-0.379637689548534,7.18670648565082,15.2928120476539,0.0244528251944298,22.4795185333047,8.50107587031966,13.5297279110049,0.0233704926405812,22.0308037813246
adl_only,ELSA,-6.34754489069247,-1.24582853732636,-1.24816556611359,-1.83444163196798,-0.833420346071944,-1.18568880921259,-0.616488218448148,-0.629340318878216,6.33385850598794,19.7637169194124,0.0755717907032878,26.0975754254003,7.8082555614156,13.4161720287199,0.0104859705192037,21.2244275901355
adl_only,HRS,-4.56906974151816,-1.56264304099307,-0.848365253950358,-1.0214163911776,-0.162048467190197,-0.974596588206931,-0.982091734349921,-0.580551306643149,5.26563530325096,17.2651792950937,0.0505371222605978,22.5308145983447,6.98489920719992,12.6961095535756,0.0237025980545664,19.6810087607755
adl_only,MHAS,-0.568741143206296,0.442769639912391,-0.0166485001998689,-0.116434434550649,-0.355074804325366,-0.523353044042803,0.191525377142627,0.251244262769764,5.93265207204834,18.0134589943963,0.0619970788665159,23.9461110664446,5.02497406534384,17.44471785119,0.0380982414577513,22.4696919165338
at_least_two,CHARLS,-2.23021205314866,-0.181177419209495,-0.443800161410722,-1.28835769895605,-0.0359058016388495,-0.280970971933543,0.209501310405792,-0.390678729615287,5.95958310000149,17.0350327054892,0.0339912844191974,22.9946158054906,7.30717418784647,14.8048206523405,0.0277948467150142,22.111994840187
at_least_two,ELSA,-6.67897827961243,-1.14942363147227,-1.06119443392582,-2.20264195513591,-0.473623006063396,-1.79209525301503,-0.618880830922893,-0.530542800549374,4.23918941959805,21.6926270826471,0.0539522088069833,25.9318165022452,5.93531140551126,15.0136488030347,0.00502549111863007,20.9489602085459
at_least_two,HRS,-4.88151395671959,-0.612600102886588,-1.08276118663435,-1.95457185147748,0.00548734304251261,-1.23706815876369,-0.288394150996184,-0.324205951890404,4.17909671218138,18.4471463951562,0.0478361986456077,22.6262431073376,6.02378416780204,13.5656324384366,0.0214318233062992,19.5894166062387
at_least_two,MHAS,-2.07528102832466,-0.319539797256998,-0.0568704040079164,-0.747529264237808,0.0391330862656605,-0.990474649087595,-0.0092764809468532,-0.310263316310145,4.28292389151541,19.5490127190402,0.0692971058303513,23.8319366105556,4.76587378438147,17.4737316907156,0.0510448361729107,22.239605475097
incident_inception,CHARLS,-3.01980309456097,-1.46638006281641,0,-0.798633128614428,-0.734144970865824,-0.0206449322643058,-0.737315989853002,-0.729064072963406,8.33119826357504,16.2959466208392,0.00960293799186273,24.6271448844142,8.23603704789534,13.2761435262782,0.00062030515128023,21.5121805741735
incident_inception,ELSA,-5.37070048803949,-1.79423841273865,0,-2.09408182362897,-0.448411192360635,-1.03396905931125,-0.813851685447405,-0.980386727291241,6.13030987983604,21.0533673665216,0.129992531909745,27.1836772463576,7.21461448516837,15.6826668784821,0.0345724757398214,22.8972813636505
incident_inception,HRS,-3.25157105160858,-0.654459643841381,0,-1.51611674940568,-0.0249484999311316,-1.05604615843038,-0.576686797137337,-0.0777728467040438,5.69352994636733,17.814948246128,0.0556542633426877,23.5084781924954,6.4973297611867,14.5633771945194,0.0351020181263256,21.0607069557061
incident_inception,MHAS,-1.19783495757254,0.139331762979136,0,-0.561697502484968,-0.021611835919431,-0.753857382147272,0.148918036500787,-0.00958627352165141,7.59364146634726,17.1054536856439,0.103746796448477,24.6990951519912,7.47465563946331,15.9076187280714,0.0905836159646127,23.3822743675347
entry_age_60_64,CHARLS,-1.75674842256128,-0.856839723586189,-0.578537468121253,-0.347191988393974,0.152946660223988,-0.127125902683849,-0.351204455867162,-0.505635267719027,3.81469099876359,12.0433327303912,1.24187815667111e-29,15.8580237291548,5.90905199222059,10.2865843078299,2.433332642164e-27,16.1956363000505
entry_age_60_64,ELSA,-11.846199950142,-2.48291605085439,-2.54064614830426,-5.81147088764486,-0.0997177036169382,-0.911449159721582,-0.886079152280811,-1.59683689857358,12.3159558387733,24.0322164921943,0.889425421859567,36.3481723309676,20.3492554892341,12.1860165420522,0.774372388786951,32.5352720312863
entry_age_60_64,HRS,-5.55731528450048,-1.08857672727789,-1.54372125291218,-1.18028039160045,-0.452087098260105,-1.29264981444985,-0.536479618696121,-0.552097108581769,6.26665714871479,16.8588157713266,0.0204929765614026,23.1254729200414,7.69053565164628,11.3015004868262,0.0056350860344427,18.9920361384724
entry_age_60_64,MHAS,-1.58423482074222,0.00930633100223405,-0.20353145879836,-0.0737342460795069,-0.0637760921851291,-1.25249935468146,-0.301604839817629,0.310911170819863,8.97035442793904,17.3948535622358,0.373602983680124,26.3652079901748,8.23387104708364,15.8106187414935,0.316315044322037,24.0444897885772
pre_covid,CHARLS,-2.15832667534342,-0.941171625002833,-0.552775157208825,-0.500309996734874,-0.103612064592781,-0.060457831804111,-0.154612420446689,-0.786559204556144,9.73263526563983,12.3820731383511,0.0220620594941819,22.114708403991,11.0003681646333,10.2237464630077,0.0153703574491261,21.224114627641
pre_covid,ELSA,-6.47113988308533,-1.75062479781372,-1.38887770401844,-1.86427318187796,-0.716021703012745,-0.751342496362463,-1.06389197767449,-0.686732820139229,7.79895071359393,18.3935187975706,0.0854326017302735,26.1924695111646,9.30562696489678,11.9223789144853,0.0133179585728058,21.2280058793821
pre_covid,HRS,-4.53683779484975,-1.19582281478002,-1.12105112332403,-1.24842754892785,-0.176196086862501,-0.795340220955349,-0.93221022778146,-0.263612586998557,7.16254837616709,15.6805924564651,0.0530509541816983,22.8431408326321,8.54486372015477,11.1437546616153,0.0257354622832446,19.6886183817701
pre_covid,MHAS,-1.48528923031575,0.219894302308892,-0.0710287992886085,-0.767085876165844,-0.0409442772451326,-0.826124579925055,-0.0364145921066712,0.256308894415563,5.12986354077439,14.7329111113753,0.0116557241849312,19.8627746521497,5.03725701964331,13.2476218810596,0.00710964624862692,18.2848789007029
common_interval_1_5_3_25,CHARLS,-2.25607386674311,-1.03591946800468,-0.491585168926499,-0.534083598366447,-0.164847578626063,-0.0296380528194225,-0.33500480067392,-0.700914667330757,10.2347812280739,14.0976033725404,0.0579136701479539,24.3323846006143,11.5715565338284,11.8415295057973,0.0427807822404786,23.4130860396257
common_interval_1_5_3_25,ELSA,-7.24819134233903,-2.0597940908504,-1.37459392071805,-2.05720855488146,-0.814206732645958,-0.942388043243175,-1.16871015245332,-0.891083938397076,9.12168468667563,19.6241820089003,0.151823069473615,28.745866695576,10.5336245794089,12.3759906665613,0.0259611672362761,22.9096152459702
common_interval_1_5_3_25,HRS,-5.15565603830374,-1.81874360494341,-1.2199468700111,-1.68348030176826,0.172353770393476,-0.605839031974447,-1.20333203519262,-0.615411569750793,12.7180780759524,19.6626206387989,0.370918850593307,32.3806987147513,16.6466599600937,14.5069646004952,0.361162672523917,31.1536245605889
common_interval_1_5_3_25,MHAS,-0.637554664138563,0.409471266506683,-0.0754970441250763,-0.623771253953162,-0.0365209288351235,-0.311236703731884,-0.0177900979488668,0.42726136445555,11.1434017609065,17.2644930497129,0.237046196397854,28.4078948106194,10.9643990880462,16.6269383855743,0.217106130662964,27.5913374736205
two_year_interval_1_75_2_25,CHARLS,-2.38805938328137,-1.08137481580203,-0.458211311490634,-0.544585630053908,-0.382612527386155,0.0787249014513508,-0.407698790544029,-0.673676025257998,11.1539399031544,14.6382099659724,0.0494036839985131,25.7921498691268,11.9987504424716,12.250150582691,0.0241745111530525,24.2489010251627
two_year_interval_1_75_2_25,ELSA,-6.46850257432062,-2.13775560142695,-1.31124312898941,-1.76299156224917,-0.679648926923857,-0.576863354731237,-1.14612661568018,-0.991628985746766,9.72219204549753,19.7202364255777,0.213097544524968,29.4424284710752,11.6635392132425,13.251733851257,0.0727428738194799,24.9152730644996
two_year_interval_1_75_2_25,HRS,-5.05407644715505,-2.0297535300987,-1.18719150010705,-1.76924973790792,0.161865446472155,-0.229747125513531,-1.31654806348265,-0.713205466616051,15.2012075646189,20.5457590774689,0.612658725876582,35.7469666420879,19.9858606396015,15.4916826303139,0.63444653186614,35.4775432699154
two_year_interval_1_75_2_25,MHAS,-0.00244119708624413,-0.00370415063512933,-0.00446931000881774,5.49938096672253e-08,0.00573220612463031,2.43926296198775e-09,-0.00370415063512933,0,0.0533572701879939,0.461060561464597,1.59815293778615e-278,0.514417831652591,0.0620763861675542,0.458619364378353,1.03364078524735e-216,0.520695750545907
common_calendar,CHARLS,-2.14513251526388,-0.94623736780768,-0.539345637587285,-0.495665544830127,-0.103991413073803,-0.0598925519649845,-0.155350436399844,-0.790886931407836,9.7692887016651,12.3422335414188,0.0220848108151126,22.1115222430839,11.0249106427423,10.1971010261549,0.015380641049676,21.2220116688973
common_calendar,ELSA,-6.45063702295883,-1.7470748715189,-1.36739877862556,-1.8685334347982,-0.71472707099768,-0.752902867018495,-1.06181536441332,-0.685259507105577,7.79647591428905,18.3966643971621,0.0854377854976459,26.1931403114512,9.28797461968932,11.9460273742033,0.0133232670710988,21.2340019938926
common_calendar,HRS,-4.90448546436685,-1.14903427484893,-1.44762390577054,-1.17518401648768,-0.0390557544155738,-1.09358751284412,-0.770159252376872,-0.37887502247206,7.11415567146547,16.2719376626564,0.0534521877679897,23.3860933341219,8.84562287339331,11.3674521982896,0.0275040063681834,20.2130750716829
common_calendar,MHAS,-1.31423505223097,0.315313087941341,-0.21483453185963,-0.524498929459573,-0.0404956356051176,-0.849719043247989,0.0710710329819461,0.244242054959395,5.29929299099809,14.4037096215546,0.00963092769865968,19.7030026125527,5.08486088202832,13.0894745693236,0.00616198423200784,18.1743354513519
mortality_common_waves,CHARLS,-2.17717354300697,-0.965923494367923,-0.489830194139038,-0.518763735980437,-0.138562819667643,-0.064093298851927,-0.294670689539387,-0.671252804828536,9.8624050639442,13.8305713239148,0.049771468600377,23.692976387859,11.196824734498,11.6533977809079,0.0382982158914411,22.8502225154059
mortality_common_waves,ELSA,-6.15523491937522,-1.45389472556563,-1.34926667083114,-1.94976248632741,-0.676172223880429,-0.72613881277062,-0.771585659497352,-0.682309066068276,8.25954520240469,17.7738432860378,0.0830332680655515,26.0333884884425,9.5305697076575,11.6186083666625,0.0129804774643834,21.1491780743201
mortality_common_waves,HRS,-4.56340120602628,-1.10292298574601,-1.18067886930526,-1.29781612820792,-0.200763204644677,-0.781220018122411,-0.843749179325583,-0.25917380642043,7.31660879276714,15.8281364082911,0.0623808490133482,23.1447452010583,8.67508898119821,11.2647352022648,0.0309024807432436,19.939824183463
mortality_common_waves,MHAS,-0.936417907565749,0.352955025618114,-0.0721332643719936,-0.534314866593598,-0.0219384870600361,-0.660986315158237,0.00294384316356252,0.350011182454552,7.71958680558999,15.9519715575048,0.065021427272957,23.6715583630947,7.46767404301798,15.015553649939,0.0562131313321825,22.483227692957
piecewise_exponential,CHARLS,-2.08636944164332,-0.785464235359496,-0.562505150958793,-0.529030136110267,-0.135204839023984,-0.0741650801907835,-0.259637622208152,-0.525826613151344,9.91701174760366,14.2566632895847,0.0795411866048667,24.1736750371884,11.1713477313475,12.1702938479414,0.065497210637858,23.3416415792889
piecewise_exponential,ELSA,-6.44540154080834,-1.56119211615,-1.48497638446812,-1.872941410213,-0.731029018619824,-0.795262611357393,-0.952704908252983,-0.608487207897015,7.85058630520118,18.7259451736737,0.118282005436684,26.5765314788749,9.42607215278165,12.2805436328654,0.0263001911994677,21.706615785647
piecewise_exponential,HRS,-4.49494486696035,-0.965755617299933,-1.24543430428781,-1.22968751028362,-0.222227675024212,-0.831839760064771,-0.740087783156235,-0.225667834143698,7.31735207482906,16.1534207235946,0.0810620214365634,23.4707727984236,8.59441399045266,11.6584758566342,0.0419678868269887,20.2528898470869
piecewise_exponential,MHAS,-1.03509619133829,0.291631820253265,-0.0839255804884198,-0.503385709508777,-0.0272694095370025,-0.712147312057355,0.0454526553788235,0.246179164874441,7.73436327331135,16.4369714691361,0.0896930572083959,24.1713347424474,7.52529080165556,15.4018752777978,0.0763918084403362,22.9271660794533
age110_hazards_frozen_95,CHARLS,-2.18560553493846,-0.971537432438165,-0.489646316873885,-0.518910589178075,-0.141215818281419,-0.0642953781669108,-0.29567501350897,-0.675862418929195,10.0713926624863,13.846300736573,0.0075956575542127,23.9176933990593,11.3537756626746,11.6606952016346,0.00502528375396615,23.0144708643092
age110_hazards_frozen_95,ELSA,-6.76073073418927,-1.89389555644184,-1.39672545409957,-1.9608111497874,-0.741059674178994,-0.768238899681456,-1.09856067986067,-0.795334876581173,7.99811608794528,18.6044524487861,0.0135946832983555,26.6025685367313,9.39797378266887,11.8437217145968,0.000590051052664434,21.2416954972657
age110_hazards_frozen_95,HRS,-4.59423616672686,-1.11273319159511,-1.18166809110883,-1.30410398656845,-0.206805563648215,-0.788925333806253,-0.850246437724147,-0.262486753870963,7.56873692070188,15.868541005178,0.0106285120087668,23.4372779258798,8.80013815910236,11.2743048384511,0.0042739501914327,20.0744429975534
age110_hazards_frozen_95,MHAS,-0.939349617142222,0.353272016464569,-0.0721368382224303,-0.535080162063273,-0.0220354095905043,-0.663369223730583,0.00294664974819637,0.350325366716373,8.11338315552705,15.9573447289836,0.0223943059685162,24.0707278845106,7.80927098866491,15.0179951118413,0.0191087144858577,22.8272661005062
age110_hazards_frozen_100,CHARLS,-2.17743927393389,-0.966853824710774,-0.489788631567762,-0.51833239088122,-0.138394447215858,-0.0640699795582776,-0.29458156635684,-0.672272258353934,10.046915014191,13.8289245093802,0.00517404184377713,23.8758395235712,11.3318120058143,11.6514852354463,0.0033549529377092,22.9832972412606
age110_hazards_frozen_100,ELSA,-6.72342356869432,-1.88126212784549,-1.39677541877167,-1.95906512711118,-0.72111949323446,-0.765201401731513,-1.09134783718325,-0.789914290662241,7.85681528773331,18.5633628048505,0.00412244913321413,26.4201780925839,9.37223294266421,11.8399392361562,7.01077886810719e-05,21.2121721788204
age110_hazards_frozen_100,HRS,-4.56719779202213,-1.10589181146124,-1.18035993002896,-1.29660016267834,-0.202394362475639,-0.781951525377951,-0.845146145479984,-0.26074566598126,7.49214818421919,15.8331380835557,0.00456569074689514,23.3252862677749,8.75965580406191,11.2659402915336,0.00181387204014221,20.0255960955955
age110_hazards_frozen_100,MHAS,-0.935439711679406,0.352164358925934,-0.0720893590078704,-0.533978782379991,-0.0216430087089785,-0.6598929205085,0.00295762610057227,0.349206732825362,8.45009496779397,15.94912397611,0.0626730084486109,24.399218943904,8.11680442613744,15.0136842644306,0.0553028100456848,23.130488690568
wealth_not_after_first_difficulty,CHARLS,-2.36617678623551,-1.10045483538831,-0.564713951309274,-0.668072504305285,-0.0181818795433041,-0.0147536156893423,-0.510349053971114,-0.590105781417192,8.88572586486247,13.9899521147958,0.0127349733648057,22.8756779796583,10.7557023066947,11.6237753285603,0.0107629588682477,22.379477635255
wealth_not_after_first_difficulty,ELSA,-6.70254673895658,-1.87734755952046,-1.39945616919268,-1.93115301712301,-0.742123598771623,-0.752466394348815,-1.08368131267943,-0.793666246841025,7.72523295963276,18.5556963103078,0.0848957700746771,26.2809292699406,9.38100538761584,11.8531495713513,0.0121764574079264,21.2341549589671
wealth_not_after_first_difficulty,HRS,-4.56340120602628,-1.10292298574601,-1.18067886930526,-1.29781612820792,-0.200763204644677,-0.781220018122411,-0.843749179325583,-0.25917380642043,7.31660879276714,15.8281364082911,0.0623808490133482,23.1447452010583,8.67508898119821,11.2647352022648,0.0309024807432436,19.939824183463
wealth_not_after_first_difficulty,MHAS,-0.936459790243743,0.352937612048698,-0.0721099625039204,-0.534336635791804,-0.021937533626731,-0.661013270369986,0.00294372034789114,0.349993891700807,7.71944318584399,15.9522001497057,0.0650219841560958,23.6716433355497,7.46753069480548,15.015740359462,0.0562133545491644,22.4832710542675
unweighted,CHARLS,-2.56373558848932,-1.08692117261595,-0.565360774008113,-0.617041370243141,-0.161333151564155,-0.133079120057964,-0.27654494488655,-0.8103762277294,9.98678219751863,13.8388993417616,0.0610509289605933,23.8256815392802,11.4411265750136,11.2751637532723,0.0445442886265746,22.7162903282859
