cohort,wealth3,people,deaths_by_age_100,people_at_risk_age_90,people_at_risk_age_100,weighted_delayed_entry_km_tle_to_age_90,multistate_model_tle_to_age_90,model_minus_km_years_to_age_90,km_alive_at_age_90,multistate_model_alive_at_age_90,weighted_delayed_entry_km_tle_to_age_100,multistate_model_tle_to_age_100,model_minus_km_years,km_alive_at_age_100,multistate_model_alive_at_age_100,model_minus_km_alive_probability
CHARLS,high,2845,375,53,0,22.5398466735758,22.2866911079112,-0.253155565664645,0.245290229717128,0.280465079008533,23.4958145710561,23.692976387859,0.197161816802929,0,0.049771468600377,0.049771468600377
CHARLS,low,3686,644,88,0,21.7125535593538,21.6651924788389,-0.0473610805148468,0.230574596121832,0.247476401559612,22.6469181438023,22.8502225154059,0.20330437160359,0,0.0382982158914411,0.0382982158914411
ELSA,high,819,133,68,0,24.8392319386555,23.9754755170019,-0.863756421653541,0.452088149212383,0.405794383868579,26.6814995968835,26.1936818244397,-0.487817772443801,0.125029131833502,0.0801310124805496,-0.044898119352952
ELSA,low,2122,516,175,0,21.107872360524,20.4368788064739,-0.670993554050074,0.242825636847252,0.194753283438576,21.5525757262888,21.190998892164,-0.361576834124755,0,0.0112794432263905,0.0112794432263905
HRS,high,945,344,139,0,22.6670803145049,21.538804302653,-1.12827601185193,0.380117362379126,0.295848612869001,24.7515676398583,23.1447452010583,-1.60682243879996,0.125083439709614,0.0623808490133482,-0.0627025906962655
HRS,low,5116,2077,522,0,19.6948671084239,19.0094844862171,-0.685382622206816,0.23816011105567,0.189044624866824,20.9623051048327,19.939824183463,-1.02248092136974,0.070732989608269,0.0309024807432436,-0.0398305088650254
MHAS,high,4232,631,147,0,24.9438393998057,22.3782941471014,-2.56554525270431,0.456184579323165,0.250330311390484,27.7314238240894,23.6716433355497,-4.05978048853967,0.207934202007477,0.0650219841560958,-0.142912217851381
MHAS,low,4201,662,145,0,23.3157617190592,21.3809408028651,-1.93482091619407,0.411520492294003,0.215125126566592,25.3572257717147,22.4832710542675,-2.87395471744719,0.0733235203731407,0.0562133545491644,-0.0171101658239762
