metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided,module
population_fdfle_gap,CHARLS,ELSA,-0.70865497543714,1.67687278133978,-3.9953256268631,2.57801567598882,0.672583411112965,primary_education
population_fdfle_gap,CHARLS,HRS,0.42917455510713,1.61029339042733,-2.72700049013045,3.58534960034471,0.789839159844743,primary_education
population_fdfle_gap,CHARLS,MHAS,-3.05956970154514,2.03999176952851,-7.05795356982102,0.938814166730735,0.13366748172578,primary_education
population_fdfle_gap,ELSA,HRS,1.13782953054427,0.625682779439704,-0.0885087171575505,2.36416777824609,0.0689815488251459,primary_education
population_fdfle_gap,ELSA,MHAS,-2.350914726108,1.40000019892052,-5.09491511599221,0.393085663776214,0.0931082860312309,primary_education
population_fdfle_gap,HRS,MHAS,-3.48874425665227,1.31952379115848,-6.07501088732289,-0.902477625981647,0.00819467177124001,primary_education
population_recovery_relapse,CHARLS,ELSA,-0.249177757454591,1.44711874495585,-3.08553049756806,2.58717498265888,0.863289038955962,primary_education
population_recovery_relapse,CHARLS,HRS,-0.316998195528958,1.42832276612848,-3.11651081714078,2.48251442608286,0.824362640300342,primary_education
population_recovery_relapse,CHARLS,MHAS,-1.16885653214052,1.57559608700606,-4.2570248626724,1.91931179839136,0.458178001514413,primary_education
population_recovery_relapse,ELSA,HRS,-0.0678204380743672,0.357686404704533,-0.768885791295252,0.633244915146518,0.849615804612758,primary_education
population_recovery_relapse,ELSA,MHAS,-0.919678774685927,0.755206375276562,-2.39988327022799,0.560525720856135,0.223305797198303,primary_education
population_recovery_relapse,HRS,MHAS,-0.85185833661156,0.718533180511984,-2.26018337041505,0.556466697191929,0.235799329554519,primary_education
population_fdfle_gap,CHARLS,ELSA,4.5333309775902,0.55083335261841,3.45369760645812,5.61296434872228,1.87291526315378e-16,primary_wealth
population_fdfle_gap,CHARLS,HRS,4.56539859690434,0.469289992335045,3.64559021192765,5.48520698188103,2.28354827302721e-22,primary_wealth
population_fdfle_gap,CHARLS,MHAS,-1.31887216401958,0.765781297256232,-2.81980350664179,0.182059178602635,0.0850229818367342,primary_wealth
population_fdfle_gap,ELSA,HRS,0.03206761931414,0.418191798130991,-0.787588305022602,0.851723543650883,0.938876836560708,primary_wealth
population_fdfle_gap,ELSA,MHAS,-5.85220314160978,0.7355761540083,-7.29393240346605,-4.41047387975351,1.77769916145951e-15,primary_wealth
population_fdfle_gap,HRS,MHAS,-5.88427076092392,0.67667421474047,-7.21055222181524,-4.5579893000326,3.44183414453925e-18,primary_wealth
population_recovery_relapse,CHARLS,ELSA,0.971069574720902,0.380451436762323,0.22538475866675,1.71675439077505,0.0106979315395121,primary_wealth
population_recovery_relapse,CHARLS,HRS,0.6448677016652,0.352706130805405,-0.0464363147133935,1.33617171804379,0.067498125736814,primary_wealth
population_recovery_relapse,CHARLS,MHAS,-1.21324530323773,0.521345499593491,-2.23508248244097,-0.191408124034487,0.0199576786975012,primary_wealth
population_recovery_relapse,ELSA,HRS,-0.326201873055702,0.238777674749049,-0.794206115563838,0.141802369452434,0.171897469366653,primary_wealth
population_recovery_relapse,ELSA,MHAS,-2.18431487795863,0.452121989287438,-3.07047397696201,-1.29815577895525,1.35677728989807e-06,primary_wealth
population_recovery_relapse,HRS,MHAS,-1.85811300490293,0.429036842439474,-2.6990252160843,-1.01720079372156,1.48505291868588e-05,primary_wealth
population_fdfle_gap,CHARLS,ELSA,4.45699724897076,0.717172915527085,3.05133833453767,5.86265616340385,5.14306853277046e-10,focused_broad
population_fdfle_gap,CHARLS,HRS,2.38622766301931,0.691291117393726,1.03129707292761,3.74115825311101,0.000556773805544654,focused_broad
population_fdfle_gap,CHARLS,MHAS,-1.24071375276323,0.847450029732058,-2.90171581103806,0.420288305511606,0.143178824721594,focused_broad
population_fdfle_gap,ELSA,HRS,-2.07076958595145,0.760025502373025,-3.56041957060258,-0.581119601300321,0.00643783787734022,focused_broad
population_fdfle_gap,ELSA,MHAS,-5.69771100173399,0.904393115941717,-7.47032150897975,-3.92510049448822,2.97572672931599e-10,focused_broad
population_fdfle_gap,HRS,MHAS,-3.62694141578254,0.884009799936977,-5.35960062365901,-1.89428220790606,4.08128153926416e-05,focused_broad
population_recovery_relapse,CHARLS,ELSA,0.903538461286214,0.532637015023582,-0.140430088160007,1.94750701073243,0.0898197372234512,focused_broad
population_recovery_relapse,CHARLS,HRS,0.13699949137809,0.520540697449744,-0.883260275623407,1.15725925837959,0.792406528908449,focused_broad
population_recovery_relapse,CHARLS,MHAS,-1.31886110641662,0.59312733415167,-2.48139068135389,-0.156331531479349,0.0261772798515434,focused_broad
population_recovery_relapse,ELSA,HRS,-0.766538969908124,0.532424474019038,-1.81009093898544,0.27701299916919,0.149948330449084,focused_broad
population_recovery_relapse,ELSA,MHAS,-2.22239956770284,0.603583662263029,-3.40542354573837,-1.0393755896673,0.0002314046069201,focused_broad
population_recovery_relapse,HRS,MHAS,-1.45586059779471,0.592936476596847,-2.61801609192453,-0.29370510366489,0.014075142745138,focused_broad
population_fdfle_gap,CHARLS,ELSA,4.58446075404351,0.786976208445712,3.04198738548992,6.12693412259711,5.69718278628862e-09,focused_adl_only
population_fdfle_gap,CHARLS,HRS,2.8059856048692,0.686752343982152,1.45995101066418,4.15202019907422,4.3910637823053e-05,focused_adl_only
population_fdfle_gap,CHARLS,MHAS,-1.19434299344266,0.827291493019298,-2.81583431976049,0.42714833287516,0.148829414352233,focused_adl_only
population_fdfle_gap,ELSA,HRS,-1.77847514917431,0.810522931021536,-3.36710009397652,-0.1898502043721,0.0282187531497677,focused_adl_only
population_fdfle_gap,ELSA,MHAS,-5.77880374748617,0.932593080699649,-7.60668618565749,-3.95092130931486,5.77361768920037e-10,focused_adl_only
population_fdfle_gap,HRS,MHAS,-4.00032859831186,0.849721768271387,-5.66578326412378,-2.33487393249995,2.50392376646053e-06,focused_adl_only
population_recovery_relapse,CHARLS,ELSA,0.953853573020706,0.503598914651678,-0.033200299696582,1.94090744573799,0.0582151981756476,focused_adl_only
population_recovery_relapse,CHARLS,HRS,1.27066807668741,0.44925394685393,0.39013034085371,2.15120581252111,0.0046781895117788,focused_adl_only
population_recovery_relapse,CHARLS,MHAS,-0.734744604218049,0.538873056822557,-1.79093579559026,0.321446587154162,0.172730132808533,focused_adl_only
population_recovery_relapse,ELSA,HRS,0.316814503666706,0.520924255832075,-0.70419703776416,1.33782604509757,0.543069638531187,focused_adl_only
population_recovery_relapse,ELSA,MHAS,-1.68859817723876,0.599930948459616,-2.8644628362196,-0.512733518257909,0.00488297417958019,focused_adl_only
population_recovery_relapse,HRS,MHAS,-2.00541268090546,0.555098536158347,-3.09340581177582,-0.917419550035101,0.000303007951781602,focused_adl_only
population_fdfle_gap,CHARLS,ELSA,4.44876622646377,0.84495415541882,2.79265608184288,6.10487637108466,1.40114782131074e-07,focused_at_least_two
population_fdfle_gap,CHARLS,HRS,2.65130190357093,0.723407778484864,1.2334226577406,4.06918114940126,0.000247322023985732,focused_at_least_two
population_fdfle_gap,CHARLS,MHAS,-0.154931024824,0.896835407460668,-1.91272842344691,1.60286637379891,0.862845566550577,focused_at_least_two
population_fdfle_gap,ELSA,HRS,-1.79746432289284,0.847212506784555,-3.45800083619057,-0.136927809595113,0.0338695301362778,focused_at_least_two
population_fdfle_gap,ELSA,MHAS,-4.60369725128777,0.999381791786755,-6.56248556318981,-2.64490893938573,4.09414384450963e-06,focused_at_least_two
population_fdfle_gap,HRS,MHAS,-2.80623292839493,0.898963433609945,-4.56820125827042,-1.04426459851944,0.00179851663052549,focused_at_least_two
population_recovery_relapse,CHARLS,ELSA,0.968246212262772,0.488663011471035,0.0104667097795442,1.926025714746,0.0475442963400679,focused_at_least_two
population_recovery_relapse,CHARLS,HRS,0.431422683677093,0.463307181429613,-0.476659391924949,1.33950475927913,0.35176012399899,focused_at_least_two
population_recovery_relapse,CHARLS,MHAS,0.138362378047503,0.49962572171034,-0.840904036504764,1.11762879259977,0.781832278154001,focused_at_least_two
population_recovery_relapse,ELSA,HRS,-0.536823528585679,0.503688350833231,-1.52405269621881,0.450405639047453,0.286520807584923,focused_at_least_two
population_recovery_relapse,ELSA,MHAS,-0.829883834215269,0.537284163358111,-1.88296079439717,0.223193125966629,0.122445426749509,focused_at_least_two
population_recovery_relapse,HRS,MHAS,-0.29306030562959,0.514330902998971,-1.30114887550757,0.715028264248394,0.568820533945264,focused_at_least_two
