metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided
population_fdfle_gap,CHARLS,ELSA,4.45699724897076,0.717172915527085,3.05133833453767,5.86265616340385,5.14306853277046e-10
population_fdfle_gap,CHARLS,HRS,2.38622766301931,0.691291117393726,1.03129707292761,3.74115825311101,0.000556773805544654
population_fdfle_gap,CHARLS,MHAS,-1.24071375276323,0.847450029732058,-2.90171581103806,0.420288305511606,0.143178824721594
population_fdfle_gap,ELSA,HRS,-2.07076958595145,0.760025502373025,-3.56041957060258,-0.581119601300321,0.00643783787734022
population_fdfle_gap,ELSA,MHAS,-5.69771100173399,0.904393115941717,-7.47032150897975,-3.92510049448822,2.97572672931599e-10
population_fdfle_gap,HRS,MHAS,-3.62694141578254,0.884009799936977,-5.35960062365901,-1.89428220790606,4.08128153926416e-05
population_recovery_relapse,CHARLS,ELSA,0.903538461286214,0.532637015023582,-0.140430088160007,1.94750701073243,0.0898197372234512
population_recovery_relapse,CHARLS,HRS,0.13699949137809,0.520540697449744,-0.883260275623407,1.15725925837959,0.792406528908449
population_recovery_relapse,CHARLS,MHAS,-1.31886110641662,0.59312733415167,-2.48139068135389,-0.156331531479349,0.0261772798515434
population_recovery_relapse,ELSA,HRS,-0.766538969908124,0.532424474019038,-1.81009093898544,0.27701299916919,0.149948330449084
population_recovery_relapse,ELSA,MHAS,-2.22239956770284,0.603583662263029,-3.40542354573837,-1.0393755896673,0.0002314046069201
population_recovery_relapse,HRS,MHAS,-1.45586059779471,0.592936476596847,-2.61801609192453,-0.29370510366489,0.014075142745138
