cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
HRS,wealth,death_post,31742,10740,4694,16605,2251,6006,1011,TRUE,8,2.89637606478225,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,education,onset,39506,9774,2084,12872,1037,7410,223,TRUE,6,4.01877771365608,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,recovery,6446,3137,1879,3699,989,503,156,TRUE,5,2.89582067373132,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,education,relapse,3512,1449,1009,1707,548,324,66,TRUE,5,2.06525726621606,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_pre,22313,8106,762,9229,441,3220,78,TRUE,7,5.18713114846657,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_post,5776,2487,693,3668,482,351,36,TRUE,6,3.33878084877137,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,onset,43005,10594,2303,9435,810,18677,710,TRUE,6,3.88211798287124,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,recovery,7066,3407,2064,3251,900,1565,514,TRUE,5,2.85676376252289,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,relapse,3864,1590,1107,1570,509,1071,251,TRUE,5,1.95341349660225,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_pre,24515,8863,848,5923,320,10066,246,TRUE,7,5.3131765592359,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_post,6329,2703,746,2906,372,1431,157,TRUE,6,3.31935570468174,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
