cohort,exposure,estimand,block,contribution_years,total_low_minus_high_gap,contribution_percent
CHARLS,education,dfle,onset,-4.47381609689664,-5.31121602496878,84.2333671962238
CHARLS,education,dfle,recovery,-0.350624346081849,-5.31121602496878,6.60158322375731
CHARLS,education,dfle,relapse,0.56106329813254,-5.31121602496878,-10.5637446395496
CHARLS,education,dfle,post_disability_mortality,-0.194463716014439,-5.31121602496878,3.66137839433075
CHARLS,education,dfle,pre_disability_mortality,-0.853375164108388,-5.31121602496878,16.0674158252376
CHARLS,education,disabled_years,onset,3.00588795436723,2.00838638478782,149.66681596404
CHARLS,education,disabled_years,recovery,0.162148618538538,2.00838638478782,8.07357686582147
CHARLS,education,disabled_years,relapse,-0.448215663495322,2.00838638478782,-22.3172028495241
CHARLS,education,disabled_years,post_disability_mortality,-0.475990762955471,2.00838638478782,-23.7001588220664
CHARLS,education,disabled_years,pre_disability_mortality,-0.235443761667154,2.00838638478782,-11.7230311582713
CHARLS,education,total_life_expectancy,onset,-1.46792814252941,-3.30282964018096,44.444561253513
CHARLS,education,total_life_expectancy,recovery,-0.188475727543311,-3.30282964018096,5.70649255566765
CHARLS,education,total_life_expectancy,relapse,0.112847634637218,-3.30282964018096,-3.4166955892716
CHARLS,education,total_life_expectancy,post_disability_mortality,-0.670454478969912,-3.30282964018096,20.2993963362027
CHARLS,education,total_life_expectancy,pre_disability_mortality,-1.08881892577554,-3.30282964018096,32.9662454438881
CHARLS,wealth,dfle,onset,-2.63787734898105,-4.19788481387178,62.8382498791834
CHARLS,wealth,dfle,recovery,-0.388330473709213,-4.19788481387178,9.25062241884262
CHARLS,wealth,dfle,relapse,-0.359717598147677,-4.19788481387178,8.56902021129787
CHARLS,wealth,dfle,post_disability_mortality,-0.51903982024001,-4.19788481387178,12.3643178232251
CHARLS,wealth,dfle,pre_disability_mortality,-0.292919572793835,-4.19788481387178,6.97778966745088
CHARLS,wealth,disabled_years,onset,1.79641200732303,1.35842635382824,132.242134603799
CHARLS,wealth,disabled_years,recovery,0.27889826940567,1.35842635382824,20.5309819424288
CHARLS,wealth,disabled_years,relapse,0.289053932772008,1.35842635382824,21.2785869441808
CHARLS,wealth,disabled_years,post_disability_mortality,-0.856761396289952,1.35842635382824,-63.0701394945316
CHARLS,wealth,disabled_years,pre_disability_mortality,-0.149176459382509,1.35842635382824,-10.9815639958771
CHARLS,wealth,total_life_expectancy,onset,-0.841465341658021,-2.83945846004354,29.6347121642737
CHARLS,wealth,total_life_expectancy,recovery,-0.109432204303543,-2.83945846004354,3.85398151948541
CHARLS,wealth,total_life_expectancy,relapse,-0.0706636653756697,-2.83945846004354,2.48863177151696
CHARLS,wealth,total_life_expectancy,post_disability_mortality,-1.37580121652996,-2.83945846004354,48.4529439641412
CHARLS,wealth,total_life_expectancy,pre_disability_mortality,-0.442096032176345,-2.83945846004354,15.5697305805828
HRS,education,dfle,onset,-2.89683268680681,-5.48438405299703,52.8196541090844
HRS,education,dfle,recovery,-0.381550173003062,-5.48438405299703,6.95702870761864
HRS,education,dfle,relapse,-0.189161005185963,-5.48438405299703,3.44908385988383
HRS,education,dfle,post_disability_mortality,0.0882767220492613,-5.48438405299703,-1.60960139181028
HRS,education,dfle,pre_disability_mortality,-2.10511691005045,-5.48438405299703,38.3838347152235
HRS,education,disabled_years,onset,1.47554658445036,1.49527085501489,98.6808897867317
HRS,education,disabled_years,recovery,0.146844499565066,1.49527085501489,9.82059531706743
HRS,education,disabled_years,relapse,0.141664828576811,1.49527085501489,9.47419178951362
HRS,education,disabled_years,post_disability_mortality,0.245706513085918,1.49527085501489,16.4322411730195
HRS,education,disabled_years,pre_disability_mortality,-0.514491570663269,1.49527085501489,-34.4079180663322
HRS,education,total_life_expectancy,onset,-1.42128610235644,-3.98911319798214,35.6291243646681
HRS,education,total_life_expectancy,recovery,-0.234705673437995,-3.98911319798214,5.88365538377599
HRS,education,total_life_expectancy,relapse,-0.0474961766091544,-3.98911319798214,1.19064499431052
HRS,education,total_life_expectancy,post_disability_mortality,0.333983235135179,-3.98911319798214,-8.37236795647017
HRS,education,total_life_expectancy,pre_disability_mortality,-2.61960848071372,-3.98911319798214,65.6689432137156
HRS,wealth,dfle,onset,-2.84141812851473,-5.68087552736547,50.0172572841505
HRS,wealth,dfle,recovery,-0.370244286911756,-5.68087552736547,6.51738072992876
HRS,wealth,dfle,relapse,-0.182356086636008,-5.68087552736547,3.20999968680138
HRS,wealth,dfle,post_disability_mortality,-0.0616527916621805,-5.68087552736547,1.08526918720876
HRS,wealth,dfle,pre_disability_mortality,-2.2252042336408,-5.68087552736547,39.1700931119107
HRS,wealth,disabled_years,onset,1.53784085616589,1.07517556928706,143.031603404607
HRS,wealth,disabled_years,recovery,0.139539326309764,1.07517556928706,12.9782828308023
HRS,wealth,disabled_years,relapse,0.137089725793639,1.07517556928706,12.7504502250309
HRS,wealth,disabled_years,post_disability_mortality,-0.184970629523483,1.07517556928706,-17.2037604654778
HRS,wealth,disabled_years,pre_disability_mortality,-0.554323709458748,1.07517556928706,-51.5565759949619
HRS,wealth,total_life_expectancy,onset,-1.30357727234884,-4.60569995807841,28.3035648047884
HRS,wealth,total_life_expectancy,recovery,-0.230704960601992,-4.60569995807841,5.00911832516
HRS,wealth,total_life_expectancy,relapse,-0.0452663608423671,-4.60569995807841,0.982833472748692
HRS,wealth,total_life_expectancy,post_disability_mortality,-0.246623421185663,-4.60569995807841,5.35474354453084
HRS,wealth,total_life_expectancy,pre_disability_mortality,-2.77952794309955,-4.60569995807841,60.349739852772
ELSA,education,dfle,onset,-2.26276582190936,-4.27699250458293,52.9055362964686
ELSA,education,dfle,recovery,-0.12262412769871,-4.27699250458293,2.86706435812817
ELSA,education,dfle,relapse,-0.386059700009119,-4.27699250458293,9.02642919283689
ELSA,education,dfle,post_disability_mortality,-0.250334789208275,-4.27699250458293,5.85305653306694
ELSA,education,dfle,pre_disability_mortality,-1.25520806575746,-4.27699250458293,29.3479136194994
ELSA,education,disabled_years,onset,1.56776935546295,1.1467263794484,136.716952148347
ELSA,education,disabled_years,recovery,0.0756948828658323,1.1467263794484,6.60095417899456
ELSA,education,disabled_years,relapse,0.290160187955132,1.1467263794484,25.3033498797424
ELSA,education,disabled_years,post_disability_mortality,-0.491475674872355,1.1467263794484,-42.8590188279059
ELSA,education,disabled_years,pre_disability_mortality,-0.295422371963158,1.1467263794484,-25.7622373791786
ELSA,education,total_life_expectancy,onset,-0.69499646644641,-3.13026612513453,22.2024722072645
ELSA,education,total_life_expectancy,recovery,-0.0469292448328785,-3.13026612513453,1.49920942682986
ELSA,education,total_life_expectancy,relapse,-0.0958995120539863,-3.13026612513453,3.06362169286373
ELSA,education,total_life_expectancy,post_disability_mortality,-0.741810464080631,-3.13026612513453,23.6979999280013
ELSA,education,total_life_expectancy,pre_disability_mortality,-1.55063043772062,-3.13026612513453,49.5366967450404
ELSA,wealth,dfle,onset,-2.57248876749332,-5.71564496729472,45.0078474470206
ELSA,wealth,dfle,recovery,-0.394728220485238,-5.71564496729472,6.90610110921686
ELSA,wealth,dfle,relapse,-0.343492264880784,-5.71564496729472,6.00968511596274
ELSA,wealth,dfle,post_disability_mortality,-0.275947516161712,-5.71564496729472,4.82793311587233
ELSA,wealth,dfle,pre_disability_mortality,-2.12898819827366,-5.71564496729472,37.2484332119274
ELSA,wealth,disabled_years,onset,1.78882295289103,1.19943730383284,149.138512465369
ELSA,wealth,disabled_years,recovery,0.244561813004793,1.19943730383284,20.389712094437
ELSA,wealth,disabled_years,relapse,0.263077614160496,1.19943730383284,21.9334193892272
ELSA,wealth,disabled_years,post_disability_mortality,-0.540424626633823,1.19943730383284,-45.0565131588686
ELSA,wealth,disabled_years,pre_disability_mortality,-0.55660044958966,1.19943730383284,-46.4051307901651
ELSA,wealth,total_life_expectancy,onset,-0.783665814602289,-4.51620766346188,17.3522980562318
ELSA,wealth,total_life_expectancy,recovery,-0.150166407480444,-4.51620766346188,3.32505541530689
ELSA,wealth,total_life_expectancy,relapse,-0.080414650720288,-4.51620766346188,1.78057912108157
ELSA,wealth,total_life_expectancy,post_disability_mortality,-0.816372142795534,-4.51620766346188,18.0764969999132
ELSA,wealth,total_life_expectancy,pre_disability_mortality,-2.68558864786332,-4.51620766346188,59.4655704074665
MHAS,education,dfle,onset,-3.041097718524,-3.22744645301441,94.226124671523
MHAS,education,dfle,recovery,0.14539514058334,-3.22744645301441,-4.50495903495293
MHAS,education,dfle,relapse,-0.214831169028174,-3.22744645301441,6.65638213230538
MHAS,education,dfle,post_disability_mortality,0.12667865588648,-3.22744645301441,-3.92504283899623
MHAS,education,dfle,pre_disability_mortality,-0.243591361932051,-3.22744645301441,7.54749507012081
MHAS,education,disabled_years,onset,1.92502287371392,2.24190921248709,85.8653358036015
MHAS,education,disabled_years,recovery,-0.0789249961716007,2.24190921248709,-3.52043676577091
MHAS,education,disabled_years,relapse,0.130584591065657,2.24190921248709,5.824704690909
MHAS,education,disabled_years,post_disability_mortality,0.317199464112593,2.24190921248709,14.1486311018234
MHAS,education,disabled_years,pre_disability_mortality,-0.0519727202334732,2.24190921248709,-2.31823483056285
MHAS,education,total_life_expectancy,onset,-1.11607484481008,-0.985537240527307,113.24532436876
MHAS,education,total_life_expectancy,recovery,0.0664701444117404,-0.985537240527307,-6.74455938125442
MHAS,education,total_life_expectancy,relapse,-0.0842465779625178,-0.985537240527307,8.54828965341199
MHAS,education,total_life_expectancy,post_disability_mortality,0.443878119999075,-0.985537240527307,-45.0392031620824
MHAS,education,total_life_expectancy,pre_disability_mortality,-0.295564082165523,-0.985537240527307,29.9901485211643
MHAS,wealth,dfle,onset,-0.981059658938887,-2.25212589765432,43.5614927194213
MHAS,wealth,dfle,recovery,-0.027054446402938,-2.25212589765432,1.20128481410015
MHAS,wealth,dfle,relapse,-0.308410578776428,-2.25212589765432,13.694197961919
MHAS,wealth,dfle,post_disability_mortality,-0.0192557337864508,-2.25212589765432,0.855002546993773
MHAS,wealth,dfle,pre_disability_mortality,-0.916345479749617,-2.25212589765432,40.6880219575659
MHAS,wealth,disabled_years,onset,0.651633581056675,0.504763635143804,129.09677632998
MHAS,wealth,disabled_years,recovery,0.014689307674633,0.504763635143804,2.91013588378809
MHAS,wealth,disabled_years,relapse,0.188233221180758,0.504763635143804,37.2913593759843
MHAS,wealth,disabled_years,post_disability_mortality,-0.0502413210951975,0.504763635143804,-9.95343515205569
MHAS,wealth,disabled_years,pre_disability_mortality,-0.299551153673065,0.504763635143804,-59.3448364376971
