age,origin_state,destination,annual_probability,cohort,exposure,ses
64,R1,D2,0.190331281107886,CHARLS,education,high
64,D2,D2,0.711500751604261,CHARLS,education,high
64,DEAD,D2,0,CHARLS,education,high
64,I0,DEAD,0.00641066390233493,CHARLS,education,high
64,D1,DEAD,0.0226896386415677,CHARLS,education,high
64,R1,DEAD,0.00856516756530833,CHARLS,education,high
64,D2,DEAD,0.0149130357760619,CHARLS,education,high
64,DEAD,DEAD,1,CHARLS,education,high
65,I0,I0,0.976985389166831,CHARLS,education,high
65,D1,I0,0,CHARLS,education,high
65,R1,I0,0,CHARLS,education,high
65,D2,I0,0,CHARLS,education,high
65,DEAD,I0,0,CHARLS,education,high
65,I0,D1,0.0157713342638892,CHARLS,education,high
65,D1,D1,0.723350742796831,CHARLS,education,high
65,R1,D1,0,CHARLS,education,high
65,D2,D1,0,CHARLS,education,high
65,DEAD,D1,0,CHARLS,education,high
65,I0,R1,0,CHARLS,education,high
65,D1,R1,0.252285012584773,CHARLS,education,high
65,R1,R1,0.795827782006782,CHARLS,education,high
65,D2,R1,0.26290615869176,CHARLS,education,high
65,DEAD,R1,0,CHARLS,education,high
65,I0,D2,0,CHARLS,education,high
65,D1,D2,0,CHARLS,education,high
65,R1,D2,0.195056524154532,CHARLS,education,high
65,D2,D2,0.721070939010464,CHARLS,education,high
65,DEAD,D2,0,CHARLS,education,high
65,I0,DEAD,0.00724327656927972,CHARLS,education,high
65,D1,DEAD,0.0243642446183965,CHARLS,education,high
65,R1,DEAD,0.00911569383868533,CHARLS,education,high
65,D2,DEAD,0.0160229022977761,CHARLS,education,high
65,DEAD,DEAD,1,CHARLS,education,high
66,I0,I0,0.975396948796371,CHARLS,education,high
66,D1,I0,0,CHARLS,education,high
66,R1,I0,0,CHARLS,education,high
66,D2,I0,0,CHARLS,education,high
66,DEAD,I0,0,CHARLS,education,high
66,I0,D1,0.0164474350619326,CHARLS,education,high
66,D1,D1,0.731392856985262,CHARLS,education,high
66,R1,D1,0,CHARLS,education,high
66,D2,D1,0,CHARLS,education,high
66,DEAD,D1,0,CHARLS,education,high
66,I0,R1,0,CHARLS,education,high
66,D1,R1,0.242405695869758,CHARLS,education,high
66,R1,R1,0.790368239989338,CHARLS,education,high
66,D2,R1,0.252759730995147,CHARLS,education,high
66,DEAD,R1,0,CHARLS,education,high
66,I0,D2,0,CHARLS,education,high
66,D1,D2,0,CHARLS,education,high
66,R1,D2,0.199912096598627,CHARLS,education,high
66,D2,D2,0.729998998421137,CHARLS,education,high
66,DEAD,D2,0,CHARLS,education,high
66,I0,DEAD,0.00815561614169631,CHARLS,education,high
66,D1,DEAD,0.0262014471449808,CHARLS,education,high
66,R1,DEAD,0.00971966341203465,CHARLS,education,high
66,D2,DEAD,0.0172412705837164,CHARLS,education,high
66,DEAD,DEAD,1,CHARLS,education,high
67,I0,I0,0.973682411058318,CHARLS,education,high
67,D1,I0,0,CHARLS,education,high
67,R1,I0,0,CHARLS,education,high
67,D2,I0,0,CHARLS,education,high
67,DEAD,I0,0,CHARLS,education,high
67,I0,D1,0.0171728645335246,CHARLS,education,high
67,D1,D1,0.738711247095813,CHARLS,education,high
67,R1,D1,0,CHARLS,education,high
67,D2,D1,0,CHARLS,education,high
67,DEAD,D1,0,CHARLS,education,high
67,I0,R1,0,CHARLS,education,high
67,D1,R1,0.233058705347264,CHARLS,education,high
67,R1,R1,0.784706030565557,CHARLS,education,high
67,D2,R1,0.243161348937485,CHARLS,education,high
67,DEAD,R1,0,CHARLS,education,high
67,I0,D2,0,CHARLS,education,high
67,D1,D2,0,CHARLS,education,high
67,R1,D2,0.204907040735632,CHARLS,education,high
67,D2,D2,0.738251203814297,CHARLS,education,high
67,DEAD,D2,0,CHARLS,education,high
67,I0,DEAD,0.00914472440815759,CHARLS,education,high
67,D1,DEAD,0.0282300475569227,CHARLS,education,high
67,R1,DEAD,0.0103869286988114,CHARLS,education,high
67,D2,DEAD,0.0185874472482174,CHARLS,education,high
67,DEAD,DEAD,1,CHARLS,education,high
68,I0,I0,0.971840500760642,CHARLS,education,high
68,D1,I0,0,CHARLS,education,high
68,R1,I0,0,CHARLS,education,high
68,D2,I0,0,CHARLS,education,high
68,DEAD,I0,0,CHARLS,education,high
68,I0,D1,0.0179552835496345,CHARLS,education,high
68,D1,D1,0.745264227193336,CHARLS,education,high
68,R1,D1,0,CHARLS,education,high
68,D2,D1,0,CHARLS,education,high
68,DEAD,D1,0,CHARLS,education,high
68,I0,R1,0,CHARLS,education,high
68,D1,R1,0.224251317111475,CHARLS,education,high
68,R1,R1,0.778820130780065,CHARLS,education,high
68,D2,R1,0.234120617587725,CHARLS,education,high
68,DEAD,R1,0,CHARLS,education,high
68,I0,D2,0,CHARLS,education,high
68,D1,D2,0,CHARLS,education,high
68,R1,D2,0.21005067912691,CHARLS,education,high
68,D2,D2,0.745794835983976,CHARLS,education,high
68,DEAD,D2,0,CHARLS,education,high
68,I0,DEAD,0.0102042156897235,CHARLS,education,high
68,D1,DEAD,0.0304844556951885,CHARLS,education,high
68,R1,DEAD,0.0111291900930251,CHARLS,education,high
68,D2,DEAD,0.0200845464282983,CHARLS,education,high
68,DEAD,DEAD,1,CHARLS,education,high
69,I0,I0,0.969872873386477,CHARLS,education,high
69,D1,I0,0,CHARLS,education,high
69,R1,I0,0,CHARLS,education,high
69,D2,I0,0,CHARLS,education,high
69,DEAD,I0,0,CHARLS,education,high
